"of %1","of %1"
"Next page","Next page"
"Add to Quote","Add to Quote"
"Adding ...","Adding ..."
Added,Added
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
Page,Page
Previous,Previous
"You're currently reading page","You're currently reading page"
Next,Next
Show,Show
" - by"," - by"
"%1 attachments","%1 attachments"
"%1 attachment","%1 attachment"
Telephone,Telephone
"VAT/Tax Id","VAT/Tax Id"
"Remark With Proposal","Remark With Proposal"
Image,Image
"Product Name","Product Name"
Item,Item
QTY,QTY
"in process ...","in process ..."
Messages,Messages
Send,Send
Back,Back
"Reject Proposal","Reject Proposal"
"Confirm and Add to Cart","Confirm and Add to Cart"
"Date Created","Date Created"
Customer,Customer
Action,Action
"ID #","ID #"
#%1,#%1
Date,Date
"You have no any quote!","You have no any quote!"
Items,Items
"* Required Fields","* Required Fields"
"Quote ID","Quote ID"
"Find Quote By","Find Quote By"
Search,Search
"Excl. Tax","Excl. Tax"
"We can't find products matching the selection.","We can't find products matching the selection."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Learn More","Learn More"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"Customize and Add to Cart","Customize and Add to Cart"
"Customize and Add to Quote","Customize and Add to Quote"
Customize,Customize
"Enter your comment","Enter your comment"
"See price before order confirmation.","See price before order confirmation."
"What's this?","What's this?"
"Requested Price","Requested Price"
"Edit item parameters","Edit item parameters"
Edit,Edit
"Remove item","Remove item"
"My Quote","My Quote"
"<span class=""label"">Quote Date:</span> %1","<span class=""label"">Quote Date:</span> %1"
"Quote Items","Quote Items"
"Requested Quantity","Requested Quantity"
"Clear Quote","Clear Quote"
"You have no items in your quote.","You have no items in your quote."
"Click <a href=""%1"">here</a> to go to homepage.","Click <a href=""%1"">here</a> to go to homepage."
"Request a Quote","Request a Quote"
"Add your comment","Add your comment"
"Quote Name","Quote Name"
"Request A Quote","Request A Quote"
Loading...,Loading...
Remarks,Remarks
"Please login to submit your quote","Please login to submit your quote"
"Do you have a general remark with this quote request?","Do you have a general remark with this quote request?"
"Submit Quote Request","Submit Quote Request"
"Your quote number is: %1.","Your quote number is: %1."
"Your quote # is: <span>%1</span>.","Your quote # is: <span>%1</span>."
"We'll email you a quote confirmation with details and tracking info.","We'll email you a quote confirmation with details and tracking info."
"Continue Shopping","Continue Shopping"
by,by
Remove,Remove
"Delete image","Delete image"
"Add Attachment","Add Attachment"
"A new quote has been submitted from %store_name.","A new quote has been submitted from %store_name."
"Quote Request <span class=""no-link"">#%increment_id</span>","Quote Request <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>"
Remark,Remark
"%sender has just send a new message relate to the quote #%quote_id.","%sender has just send a new message relate to the quote #%quote_id."
"Your Quote Request <span class=""no-link"">#%increment_id</span>","Your Quote Request <span class=""no-link"">#%increment_id</span>"
"The following quote has been completed.","The following quote has been completed."
"The customer has rejected your proposal.","The customer has rejected your proposal."
"Thank you for your quote request from %store_name.","Thank you for your quote request from %store_name."
"Once your package ships we will send you a tracking number.","Once your package ships we will send you a tracking number."
"You can check the status of your quote by visiting to this link <a href=""%view_quote_url"">%view_quote_url</a>.","You can check the status of your quote by visiting to this link <a href=""%view_quote_url"">%view_quote_url</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>"
"Your quote is approved. You can now add products in your quote to shopping cart and process the order.","Your quote is approved. You can now add products in your quote to shopping cart and process the order."
"Your quote is cancelled.","Your quote is cancelled."
"Your quote is expired.","Your quote is expired."
"Your quote is held.","Your quote is held."
"You got a new message from %sender.","You got a new message from %sender."
"You have just rejected our proposal.","You have just rejected our proposal."
"You are getting this email because you have submit a quote from %store_name which is not completed yet.","You are getting this email because you have submit a quote from %store_name which is not completed yet."
"Your quote is unheld.","Your quote is unheld."
Close,Close
"item in the Quote","item in the Quote"
"items in the Quote","items in the Quote"
"View Quote Request","View Quote Request"
"Recently added item(s)","Recently added item(s)"
"Items in Quote","Items in Quote"
"View and edit quote","View and edit quote"
"See Details","See Details"
"Options Details","Options Details"
Update,Update
"Enter your details","Enter your details"
"Email Address","Email Address"
"You can create an account after quote.","You can create an account after quote."
Password,Password
"You already have an account with us. Sign in or continue as guest.","You already have an account with us. Sign in or continue as guest."
Login,Login
"Forgot Your Password?","Forgot Your Password?"
"Submit Quote","Submit Quote"
"Login your account","Login your account"
"Sign In","Sign In"
or,or
[customer],[customer]
[admin],[admin]
[vendor],[vendor]
Error,Error
"Please enter the message.","Please enter the message."
"Something wrong. Please try to refresh the page.","Something wrong. Please try to refresh the page."
"Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Add Products","Add Products"
"You have item changes","You have item changes"
"Send Request","Send Request"
"Something went wrong while processing your quote. Please try again later.","Something went wrong while processing your quote. Please try again later."
VNECOMS,VNECOMS
"Quote Frontend","Quote Frontend"
"Login Required","Login Required"
"Form Configuration","Form Configuration"
"Category Page","Category Page"
"Product List Selector","Product List Selector"
"Add to Cart Button Selector","Add to Cart Button Selector"
"Quotation Configuration","Quotation Configuration"
"Quote ID Format","Quote ID Format"
Prefix,Prefix
Suffix,Suffix
"Start Counter From","Start Counter From"
"Counter Increment Step","Counter Increment Step"
"Number Length","Number Length"
"Use Separated Counter For This Website","Use Separated Counter For This Website"
"Use Separated Counter For This Store","Use Separated Counter For This Store"
"Reset counter","Reset counter"
"Expiration Times and Notifications","Expiration Times and Notifications"
"Default Expiration Time","Default Expiration Time"
"Default Reminder Notice Time","Default Reminder Notice Time"
"Message Configuration","Message Configuration"
"Allow Customer Upload Files","Allow Customer Upload Files"
"Allowed Extensions","Allowed Extensions"
"Notification Emails","Notification Emails"
"Email Sender","Email Sender"
"Emails Send to Customer","Emails Send to Customer"
"New Quote Confirmation Email Template","New Quote Confirmation Email Template"
"New Quote Confirmation Email Template for Guest","New Quote Confirmation Email Template for Guest"
"Quote is Approved Email Template","Quote is Approved Email Template"
"Quote is Approved Email Template for Guest","Quote is Approved Email Template for Guest"
"Quote is Cancelled Email Template","Quote is Cancelled Email Template"
"Quote is Cancelled Email Template for Guest","Quote is Cancelled Email Template for Guest"
"Quote is Held Email Template","Quote is Held Email Template"
"Quote is Held Email Template for Guest","Quote is Held Email Template for Guest"
"Quote is Unheld Email Template","Quote is Unheld Email Template"
"Quote is Unheld Email Template for Guest","Quote is Unheld Email Template for Guest"
"Quote is Rejected Email Template","Quote is Rejected Email Template"
"Quote is Rejected Email Template for Guest","Quote is Rejected Email Template for Guest"
"Quote is Expired Email Template","Quote is Expired Email Template"
"Quote is Expired Email Template for Guest","Quote is Expired Email Template for Guest"
"Quote Remider Email Template","Quote Remider Email Template"
"Quote Message Email Template","Quote Message Email Template"
"Emails Send to Admin","Emails Send to Admin"
"Admin emails","Admin emails"
"Products Grid Template","Products Grid Template"
quote-header,quote-header
"Add New Quote","Add New Quote"
"Customer Email","Customer Email"
"Purchase Point","Purchase Point"
"Purchase Date","Purchase Date"
"Last Updated","Last Updated"
"Thank you for your quote request!","Thank you for your quote request!"
